ingredient_type,yield,year,month,day,operations_commencing_year,num_processing_plants,farm_area,deidentified_location,temp_obs,cloudiness,wind_direction,dew_temp,pressure_sea_level,precipitation,wind_speed
1,3630.09,2016,10,27,1999.0,0.0,8723.312991,12,20.6,0.0,60.0,16.7,1021.2,0.0,3.1
1,1482.46,2016,8,7,2009.0,0.0,51394.86863,6,36.7,2.0,0.0,13.9,1003.6,0.0,0.0
2,51.375,2016,8,10,0.0,0.0,1807.334962,1,24.4,0.0,200.0,20.6,1014.5,0.0,3.6
1,974.233,2016,6,5,0.0,0.0,6604.288464,5,19.4,0.0,180.0,14.4,1011.1,0.0,2.6
0,25.88,2016,6,18,0.0,5.0,645.118432,8,30.6,0.0,240.0,22.8,1015.4,0.0,3.6
0,19.0,2016,12,19,0.0,0.0,5054.387715,13,-5.0,0.0,340.0,-12.2,1041.0,0.0,4.1
0,49.4075,2016,12,11,1999.0,6.0,2176.903096,9,7.8,0.0,0.0,6.7,1022.0,0.0,0.0
0,994.75,2016,11,13,2009.0,15.0,14372.651518,9,16.7,0.0,300.0,13.9,1019.1,0.0,2.6
0,22.5,2016,11,8,0.0,7.0,4003.561882,0,11.7,0.0,0.0,2.8,1026.7,0.0,0.0
2,131.99,2016,10,2,1964.0,0.0,2239.241009,3,14.4,0.0,150.0,13.3,1019.0,0.0,4.1
2,3141.6,2016,2,24,0.0,0.0,9089.443714,5,4.4,0.0,70.0,3.3,1015.2,-1.0,6.7
1,58.0568,2016,9,21,1923.0,0.0,10589.827164,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,2016,5,18,0.0,6.0,19859.131086,0,21.1,2.0,310.0,3.9,1013.9,0.0,3.6
0,44.5833,2016,10,3,0.0,5.0,1710.715842,8,25.0,0.0,360.0,23.3,1012.4,0.0,2.1
2,1429.69,2016,6,11,0.0,0.0,35416.574563,1,32.2,4.0,90.0,13.9,1013.1,0.0,4.1
0,20.358,2016,12,31,0.0,0.0,4420.138934,1,-5.0,0.0,320.0,-8.9,1005.9,0.0,5.7
0,176.01,2016,4,28,1991.0,0.0,12236.25413,6,23.9,2.0,270.0,-7.8,1004.7,0.0,8.8
0,1020.34,2016,3,25,2010.0,0.0,31587.02,4,19.4,0.0,320.0,11.1,1008.5,0.0,5.1
2,492.75,2016,8,11,0.0,0.0,63138.179442,1,21.1,0.0,40.0,19.4,1014.1,43.0,4.1
0,15.26,2016,11,13,1900.0,0.0,1703.84102,4,2.8,0.0,190.0,-2.2,1025.5,0.0,1.5
0,38.5,2016,4,26,0.0,6.0,2033.832476,0,6.7,0.0,30.0,5.6,1003.0,0.0,1.5
1,2.1,2016,10,29,0.0,0.0,2217.687513,5,16.7,0.0,230.0,8.3,1012.7,0.0,2.1
0,13.0,2016,5,13,1953.0,0.0,4941.882182,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,109.8,2016,3,25,0.0,0.0,7212.245696,13,17.2,0.0,360.0,2.8,1015.2,0.0,2.6
1,4.65,2016,2,4,1965.0,6.0,20999.979926,2,1.1,0.0,60.0,0.9,1002.4,0.0,2.6
1,102.059,2016,9,5,0.0,0.0,2670.96125,6,30.0,0.0,0.0,7.8,1004.7,0.0,2.1
3,793.8389999999998,2016,4,2,0.0,0.0,12911.380231,5,18.3,0.0,230.0,15.6,1002.2,0.0,2.6
0,59.871,2016,8,29,0.0,0.0,7144.519409,5,23.3,0.0,200.0,17.2,1021.2,0.0,2.6
0,104.206,2016,8,24,0.0,0.0,5785.905937,5,18.9,0.0,0.0,13.9,1024.6,0.0,0.0
2,457.5,2016,2,9,0.0,0.0,27992.324221,13,6.1,0.0,300.0,-4.4,1027.8,0.0,2.6
0,268.92900000000003,2016,5,27,2003.0,0.0,6326.136882,12,22.8,2.0,70.0,16.1,1018.7,0.0,3.1
2,36.6,2016,9,6,0.0,0.0,17997.447869,13,27.8,0.0,110.0,25.0,1015.8,0.0,2.6
0,1264.9,2016,8,19,0.0,9.0,14000.017585,2,14.2,0.0,360.0,12.9,1014.9,0.0,0.0
0,0.0939,2016,6,26,1977.0,11.0,7668.956844,15,13.3,0.0,270.0,12.6,1017.5,0.0,3.6
0,17.25,2016,10,16,1909.0,0.0,1185.535183,6,33.9,2.0,170.0,1.1,1008.2,0.0,1.5
0,151.65,2016,3,8,0.0,0.0,5440.585486,7,13.3,4.0,210.0,2.8,1020.4,0.0,1.5
1,0.0,2016,9,29,0.0,0.0,1453.839047,5,16.7,0.0,90.0,13.9,1020.4,0.0,5.7
0,157.625,2016,11,1,1933.0,0.0,12151.154982,3,9.4,0.0,160.0,3.3,1024.6,0.0,6.2
2,85.4,2016,5,30,0.0,0.0,15519.910665,13,30.6,0.0,170.0,19.4,1011.7,0.0,2.1
0,0.52,2016,4,19,0.0,0.0,291.065099,4,15.0,0.0,170.0,10.6,1017.9,0.0,2.1
2,634.34,2016,10,14,1902.0,0.0,4541.191543,3,2.2,0.0,30.0,1.7,1026.2,0.0,2.1
0,34.2212,2016,3,11,0.0,8.0,4212.965244,15,4.1,0.0,110.0,2.1,1029.8,0.0,2.6
1,115.742,2016,4,14,0.0,0.0,2568.396338,5,6.7,0.0,20.0,-2.8,1027.2,0.0,2.6
0,28.1,2016,2,22,1976.0,6.0,4597.955276,10,7.0,0.0,290.0,6.0,0.0,0.0,3.6
0,61.11,2016,11,2,0.0,0.0,5779.031115,4,18.9,0.0,190.0,16.1,1022.2,0.0,3.1
1,0.0,2016,2,1,0.0,0.0,14150.241736,1,0.6,0.0,250.0,-2.8,1009.4,0.0,2.1
0,147.139,2016,12,3,0.0,0.0,18554.772966,1,-1.1,8.0,240.0,-5.0,1027.4,0.0,4.6
0,73.84,2016,11,20,0.0,0.0,5281.628453,1,-3.3,4.0,330.0,-9.4,1031.3,0.0,5.1
1,2533.71,2016,7,28,2005.0,0.0,17043.98438,6,33.3,0.0,130.0,15.6,1007.4,0.0,3.6
1,24.3718,2016,11,17,1970.0,0.0,864.834027,6,21.7,0.0,120.0,2.8,1005.1,0.0,1.5
0,15.1932,2016,8,23,0.0,0.0,14150.241736,1,23.3,0.0,200.0,15.6,1013.4,0.0,5.7
0,62.51,2016,2,26,1935.0,0.0,4385.0216,4,2.2,4.0,320.0,-7.8,1012.0,0.0,5.7
0,204.66,2016,3,25,1976.0,0.0,9689.225482,4,20.0,0.0,190.0,12.8,1006.2,0.0,7.7
0,55.0,2016,12,11,0.0,0.0,3972.067765,5,0.0,0.0,210.0,-9.4,1030.4,0.0,2.6
1,164.87,2016,11,28,0.0,0.0,8005.172801,13,22.8,0.0,300.0,15.0,1002.5,0.0,6.2
2,2253.64,2016,1,3,1960.0,0.0,1704.026826,3,-1.0,0.0,300.0,-2.0,0.0,0.0,2.1
0,140.0,2016,11,10,0.0,0.0,20255.083672,13,16.1,0.0,0.0,15.0,1025.5,0.0,1.5
0,0.4167,2016,6,15,0.0,5.0,297.2896,8,30.0,0.0,200.0,22.8,1015.2,-1.0,4.6
0,65.895,2016,3,21,0.0,8.0,8055.990742,11,3.2,7.0,250.0,2.0,1025.8,0.0,6.0
0,10.05,2016,4,2,1993.0,0.0,3239.992125,3,6.7,0.0,260.0,1.1,1006.1,0.0,4.1
0,0.0,2016,12,28,0.0,0.0,39620.528216,13,18.9,0.0,0.0,17.2,1019.3,0.0,0.0
0,0.0,2016,1,20,0.0,0.0,750.563337,13,11.7,0.0,360.0,6.7,0.0,0.0,4.1
0,506.1,2016,3,2,1966.0,11.0,11903.289778,9,17.8,0.0,220.0,11.7,1018.2,0.0,2.6
2,4273.44,2016,2,18,0.0,0.0,28339.781441,1,-2.8,0.0,150.0,-7.8,1021.1,0.0,6.2
0,219.0,2016,7,28,0.0,0.0,8101.1416,5,24.4,0.0,210.0,21.7,1011.7,3.0,2.6
0,329.083,2016,6,25,1958.0,13.0,9334.986343,15,14.1,0.0,250.0,11.4,1017.4,0.0,4.6
1,30.6318,2016,11,13,1983.0,0.0,11282.14032,6,26.1,0.0,90.0,2.2,1015.4,0.0,1.5
0,21.5,2016,10,3,1919.0,6.0,2708.029547,10,17.0,0.0,130.0,11.0,0.0,0.0,6.2
2,2546.88,2016,12,12,0.0,0.0,3447.351621,1,-7.2,0.0,330.0,-9.4,1013.2,-1.0,3.1
3,0.0,2016,8,12,1958.0,17.0,12976.969749,15,27.0,0.0,260.0,11.5,1022.5,0.0,7.2
0,69.43,2016,1,7,2014.0,0.0,5310.799995,4,5.6,0.0,0.0,2.8,1023.9,0.0,0.0
0,136.07,2016,7,15,2002.0,0.0,4457.857552,4,27.2,6.0,10.0,21.1,1014.0,0.0,2.6
3,2.9307,2016,1,25,1989.0,0.0,15520.932598,6,18.3,2.0,0.0,-2.8,1014.9,0.0,1.5
0,2.3,2016,6,17,1976.0,5.0,1047.01681,10,12.0,0.0,330.0,12.0,0.0,0.0,3.6
0,0.11,2016,5,28,1900.0,0.0,18051.0529,4,22.2,0.0,190.0,18.9,1019.1,0.0,4.6
3,1017.35,2016,3,2,0.0,0.0,12911.380231,5,5.0,0.0,330.0,-10.6,1008.7,0.0,8.2
0,57.5,2016,1,28,1959.0,10.0,3836.615191,9,9.4,0.0,0.0,7.2,1025.8,0.0,0.0
0,77.542,2016,3,9,0.0,0.0,4900.447444,1,3.9,8.0,230.0,2.2,1014.6,0.0,2.6
0,0.0,2016,12,7,0.0,5.0,371.612,8,19.4,2.0,330.0,16.7,1017.7,0.0,2.1
1,42.892,2016,7,15,1967.0,0.0,5292.591007,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,12093.8,2016,1,7,0.0,0.0,425.588643,4,5.6,8.0,0.0,2.8,1024.0,0.0,0.0
0,256.4,2016,3,16,1907.0,12.0,3200.972865,15,7.5,0.0,40.0,5.5,1029.2,0.0,3.6
0,39.03,2016,5,30,0.0,0.0,2222.053954,4,21.7,8.0,210.0,20.6,1018.4,-1.0,2.6
1,45.5784,2016,1,12,2004.0,0.0,15232.282977,6,11.7,0.0,280.0,-0.6,1023.2,0.0,1.5
0,2.75,2016,9,1,0.0,5.0,60.201144,8,23.3,0.0,120.0,22.2,1012.8,0.0,4.1
3,0.0,2016,4,10,1914.0,0.0,4559.493434,6,22.2,0.0,280.0,2.2,1007.6,0.0,6.2
1,61.0408,2016,10,15,1913.0,0.0,2909.350348,3,12.2,0.0,170.0,3.9,1028.1,0.0,5.7
0,103.91,2016,5,20,1957.0,0.0,12731.42712,6,28.3,0.0,250.0,4.4,1004.1,0.0,2.6
0,7.91,2016,8,14,0.0,0.0,136.846119,4,33.3,4.0,270.0,22.8,1016.5,0.0,4.1
2,3750.0,2016,6,2,0.0,0.0,10351.623872,1,16.7,0.0,300.0,7.8,1017.9,0.0,4.6
